episode,train_step,avg_loss,avg_td_error,avg_q_value,avg_batch_reward,batch_size,epsilon
15,281,2915.392578,49.599281,-171.2805,0.551919,32,0.979375
15,282,2808.790283,48.827484,-172.3747,0.551919,32,0.979375
15,283,2705.173584,48.059204,-173.4694,0.551919,32,0.979375
15,284,2603.397705,47.284161,-174.5703,0.551919,32,0.979375
15,285,2504.628662,46.512489,-175.6720,0.551919,32,0.979375
15,286,2407.797607,45.733635,-176.7795,0.551919,32,0.979375
15,287,2313.995361,44.958370,-177.8880,0.551919,32,0.979375
15,288,2222.236084,44.175892,-179.0019,0.551919,32,0.979375
15,289,2133.525391,43.395779,-180.1169,0.551919,32,0.979375
15,290,2046.954956,42.608639,-181.2370,0.551919,32,0.979375
15,291,1963.486450,41.824539,-182.3577,0.551919,32,0.979375
15,292,1882.269531,41.034027,-183.4829,0.551919,32,0.979375
15,293,1804.090942,40.244663,-184.6102,0.551919,32,0.979375
15,294,1728.282837,39.449375,-185.7409,0.551919,32,0.979375
15,295,1655.551758,38.655689,-186.8737,0.551919,32,0.979375
15,296,1585.299805,37.856514,-188.0104,0.551919,32,0.979375
15,297,1518.175781,37.059658,-189.1495,0.551919,32,0.979375
15,298,1453.583618,36.256397,-190.2917,0.551919,32,0.979375
15,299,1392.166138,35.455650,-191.4345,0.551919,32,0.979375
15,300,1333.340332,34.647388,-192.5809,0.551919,32,0.979375
16,301,1273.862061,33.791416,-193.8158,0.554145,32,0.977500
16,302,4725.053711,61.480053,-194.9673,0.554145,32,0.977500
16,303,4573.076660,60.643837,-196.1524,0.554145,32,0.977500
16,304,4423.166992,59.803722,-197.3401,0.554145,32,0.977500
16,305,4276.859375,58.968472,-198.5262,0.554145,32,0.977500
16,306,4132.663574,58.127846,-199.7163,0.554145,32,0.977500
16,307,3992.067871,57.290936,-200.9061,0.554145,32,0.977500
16,308,3853.644287,56.449909,-202.1010,0.554145,32,0.977500
16,309,3718.842041,55.614994,-203.2960,0.554145,32,0.977500
16,310,3586.344727,54.775345,-204.4956,0.554145,32,0.977500
16,311,3457.480713,53.940964,-205.6954,0.554145,32,0.977500
16,312,3330.941650,53.099838,-206.9002,0.554145,32,0.977500
16,313,3208.083984,52.263515,-208.1051,0.554145,32,0.977500
16,314,3087.637695,51.421238,-209.3147,0.554145,32,0.977500
16,315,2970.928711,50.583664,-210.5242,0.554145,32,0.977500
16,316,2856.666260,49.738930,-211.7386,0.554145,32,0.977500
16,317,2746.163086,48.898949,-212.9529,0.554145,32,0.977500
16,318,2638.206055,48.051292,-214.1718,0.554145,32,0.977500
16,319,2534.007812,47.208256,-215.3906,0.554145,32,0.977500
16,320,2432.466064,46.357552,-216.6133,0.554145,32,0.977500
16,321,2334.657227,45.511341,-217.8365,0.554145,32,0.977500
16,322,2239.606201,44.657284,-219.0632,0.554145,32,0.977500
16,323,2148.298096,43.807690,-220.2902,0.554145,32,0.977500
16,324,2059.839355,42.950184,-221.5203,0.554145,32,0.977500
16,325,1975.123779,42.097355,-222.7517,0.554145,32,0.977500
16,326,1893.375000,41.237434,-223.9871,0.554145,32,0.977500
16,327,1815.349243,40.382046,-225.2234,0.554145,32,0.977500
16,328,1740.376343,39.518112,-226.4619,0.554145,32,0.977500
16,329,1669.121338,38.658810,-227.7006,0.554145,32,0.977500
16,330,1601.036743,37.792179,-228.9426,0.554145,32,0.977500
17,331,1543.356567,37.059074,-229.2460,0.561724,32,0.975625
17,332,5448.949707,66.042259,-230.4851,0.561724,32,0.975625
17,333,5273.469727,65.137627,-231.7678,0.561724,32,0.975625
17,334,5100.506836,64.230461,-233.0519,0.561724,32,0.975625
17,335,4931.956543,63.329971,-234.3318,0.561724,32,0.975625
17,336,4765.859863,62.424526,-235.6161,0.561724,32,0.975625
